image_path,true_label,true_class,pred_prob_kusurlu,pred_label,pred_class,sonuc_tipi
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0002.PNG,1,kusurlu,0.81086403,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0010.PNG,1,kusurlu,0.46405843,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0021.PNG,1,kusurlu,0.70280504,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0027.PNG,1,kusurlu,0.79991007,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0032.PNG,1,kusurlu,0.9041517,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0035.PNG,1,kusurlu,0.7975959,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0041.PNG,1,kusurlu,0.5480042,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0043.PNG,1,kusurlu,0.67821455,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0048.PNG,1,kusurlu,0.85798013,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0060.PNG,1,kusurlu,0.45851496,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0065.PNG,1,kusurlu,0.7839885,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0078.PNG,1,kusurlu,0.74987876,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0082.PNG,1,kusurlu,0.51106876,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0089.PNG,1,kusurlu,0.7479153,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0112.PNG,1,kusurlu,0.7550795,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0121.PNG,1,kusurlu,0.28822055,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0126.PNG,1,kusurlu,0.36789867,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0141.PNG,1,kusurlu,0.75263745,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0146.PNG,1,kusurlu,0.5553443,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0176.PNG,1,kusurlu,0.53134155,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0180.PNG,1,kusurlu,0.31928587,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0188.PNG,1,kusurlu,0.6761647,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0194.PNG,1,kusurlu,0.7150268,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0203.PNG,1,kusurlu,0.6640034,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0204.PNG,1,kusurlu,0.605845,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0224.PNG,1,kusurlu,0.8155078,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0232.PNG,1,kusurlu,0.59784377,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0234.PNG,1,kusurlu,0.6135465,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0240.PNG,1,kusurlu,0.5207604,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0253.PNG,1,kusurlu,0.90562904,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0268.PNG,1,kusurlu,0.8636403,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0272.PNG,1,kusurlu,0.9674037,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0274.PNG,1,kusurlu,0.8486814,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0283.PNG,1,kusurlu,0.3463402,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0305.PNG,1,kusurlu,0.86803716,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0345.PNG,1,kusurlu,0.88131654,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0354.PNG,1,kusurlu,0.7708372,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0356.PNG,1,kusurlu,0.7080127,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0358.PNG,1,kusurlu,0.5433342,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0360.PNG,1,kusurlu,0.68109417,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0361.PNG,1,kusurlu,0.61817193,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0367.PNG,1,kusurlu,0.6300382,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0376.PNG,1,kusurlu,0.7420967,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0378.PNG,1,kusurlu,0.94322616,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0380.PNG,1,kusurlu,0.9219674,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0381.PNG,1,kusurlu,0.8670441,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0386.PNG,1,kusurlu,0.9159885,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0420.PNG,1,kusurlu,0.64546174,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0421.PNG,1,kusurlu,0.76476556,1,kusurlu,dogru_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0430.PNG,1,kusurlu,0.31615344,0,kusursuz,kacan_kusurlu
/content/drive/MyDrive/DERİNMODEL/01_veri_seti/islenmis_veri/test/kusurlu/Class1_Test_0432.PNG,1,kusurlu,0.8160361,1,kusurlu,dogru_kusurlu
